call_id,objection_idx,texto_objecion,texto_respuesta,sentimiento_antes,sentimiento_despues,latencia_respuesta_s
C076,1,no la verdad no porque ya me hicieron una propuesta mejor,comprendo que propuesta le hicieron y que quien lo llamó sin,0.0775,-0.1221,1.604
C077,1,"aló, hola, hola, sí ... Bueno, usted me iba a hacer una propuesta. ¿Qué propuesta especial me iba a hacer? Yo escucho. Porque es que yo con Credit Paraíso tuve un crédito correcto, pero Credit Paraíso me quedó mal a mí en la venta del producto. Nada que tengan que ver ustedes con tal como el producto. Por ejemplo, le compré el colchón y el colchón no me demoró seis meses. A los seis meses la empresa la quitan, desaparece por X o Y deuda, no sé qué habrá pasado. Pero el colchón me salió malísimo. Yo si estaba en el proceso de pago Pero al ver no una respuesta grata Por parte de la empresa Porque nunca me dieron soluciones Yo me quedé quieto Si no me responden Pero yo fui el que pequé Por no pagar la deuda Entonces yo en base a eso Bueno yo sé que está la deuda Y hay que cancelarla Pero es que a mí me quedaron mal Y a mí me tumbó la empresa Tras de que me dé un colchón malo Nunca me dio una garantía Por un colchón de casi dos millones Porque yo pagué un efectivo y financié uno me Lo","escucho perfectamente Pero si me escuchó lo que Si señor Madrid Si señor, lo escuché perfectamente Entiendo la molestia con el producto que adquirió Y lamento mucho esa experiencia Comprendo que fue una situación muy difícil para usted Sin embargo, la deuda sigue estando vigente Y por eso estamos llamando para ofrecerle una solución Me",-0.7019,-0.1862,3.792
C077,2,"¿Cuándo sería el pago de la primera cuota? Porque necesito saber para cuándo Porque eso a quemar ropa, pues no sé si las tengo ¿Cuándo sería el pago de la primera cuota?","Entiendo su solicitud. Pero la primera cuota debe ser a más tardar el 8 de julio, como le mencioné. ¿Puede confirmarme si está de acuerdo con esa fecha o necesitamos ajustar el acuerdo?",-0.7161,-0.6627,4.455
C078,1,"El día de hoy quizás no es posible porque en el cuarto me encuentro y se me hace imposible acceder hasta allá, pero mañana a las horas de la mañana yo creo que sí estaría acercándome a la oficina.","Comprendo, pero usted debe realizar el pago a través de la plataforma, no es necesario ir a la oficina.",-0.5877,0.2524,1.806
C079,1,"Esa deuda, ¿de qué deuda me estás hablando tú?","Permítame atender sus dudas, señoría.",-0.4367,,3.105
C082,1,"No, que me hable normal, porque parece que me estuviera hablando con un robot.","Entiendo perfectamente. Le confirmo que la deuda total actual es de 1 .560 .000 pesos. Hoy le queremos brindar una ayuda a través de una gran oportunidad y descuento, y evitar así un proceso legal muy costoso en tiempo y plata para usted y nosotros. Señora Carvajal, ¿me permite comentarle sobre la propuesta de pago que le tenemos? Sí,",-0.7395,0.0471,3.376
C082,2,"Yo voy a llamar directamente, porque es que no me es confiable su información. Señora","Carvajal, entiendo su precaución y está en todo su derecho de verificar. Esta llamada es directamente de... Somos nosotros los dueños de su...",-0.9351,0.6442,
C083,1,ah bueno si la segunda cuota es 7 es correcto yo como certifico que pena pues ser tan tan prevenido como certifico de que ustedes están en este tema de BBVA y que están tratando de crédito para que no haya una escapa o algo así,"claro que si señor Cristian si usted gusta usted se puede o remitir directamente Efectivamente, a BBVA, validar también en su correo electrónico. Ahí nosotros ya enviamos el documento de sesión. El documento de sesión, pues, especifica que nosotros somos actualmente los dueños de la cartera. O, pues, si a ustedes les gusta, pues, o llamar a BBVA o comunicarse con ellos y ellos le van a confirmar que Solucionaco es el dueño de la cartera. No habría ningún inconveniente si se me acerque a ese correo o validando, pues, por su correo ya el documento de sesión que le llegó previamente.",-0.7723,-0.1214,0.827
C086,1,"Bien, pues, pues, un poquito triste porque es que no, todavía no me dan plata, hermano. Dice Mercedes que es que le estamos mandando gallo y eso, pero no, no, se lo juro que no. Como le decía, como había estado sin trabajito y, y, pues, organicé ahí un algo, pero igual no me han pagado y me da pena con ustedes porque","lo importante es que tenga buena comunicación y me haga saber pues para yo colaborar si me entiendes si usted me hace saber yo pues ahí le colaboro porque si no, es que a mi la gente me está diciendo no Johan, el señor que el acuerdo entonces lo no, espere jefe, yo lo llamo a ver que me dice sí hágale falsado Entonces, este sábado, ¿cierto? De una.",-0.9399,0.2156,1.165
C088,1,"¿Está usted de acuerdo? No, no, no, no, no, me queda imposible para reunir ese monto, a las cuotas máximas que tenga. tenga.","Estas son las cotas máximas que no nos dejan dividir, señor. ¿Cuánto usted podría comprometerse a pagar mensualmente? No,",-0.2622,-0.0469,0.675
C088,2,"no, no. No, la verdad, no, no, no, no. No tengo capacidad para ese monto mensual, la verdad. ¿Para qué me comprometo para quedar mal?","Comprendo, señor. Voy a pasarlo por comité, señor. ¿Cómo me estaría comunicando nuevamente?",-0.8844,-0.2537,3.375
C091,1,"gracias, adiós. Hija, no sé si me puede llamar más tarde, ahorita estoy ocupado.","Perfecto, de igual manera le voy a dejar una notificación vía WhatsApp para poder tener, poder brindar la información a través de este medio.",-0.063,-0.0058,0.49
C092,1,"Lo que pasa es que en el Me enfermé y entonces todavía estoy así como enferma, entonces tuve que gastar en algunos medicamentos y eso fue lo que me pasó. Comprendo. ¿Cómo ha pensado solucionar el tema de la obligación pendiente? Pues yo estaba pensando, no, o sea, mi intención es realmente cancelar, pero no, no sé, ahorita no, o sea, ahorita prácticamente lo que me llegó me tocó gastarlo en mi salud y tengo algunas cositas también pendientes, no sé si me den otra tregua o algo así. Sí. Pues no, porque la verdad manejamos un","beneficio especial, se le hizo, pues digamos que en este caso un descuento y todo, pero pues la idea sería sí poderle ayudar, podría hacer el pago, si quiere yo le extiendo el plazo ahorita para el día 10 de julio, para este viernes. Sí. Sí, para el 10 de julio podría hacer el pago de los 400 mil pesos. Díganme ahora. Listo, su merced. Entonces, yo quedo atenta al envío del comprobante de pago. Yo le voy a escribir por WhatsApp para recordarle los medios de pago. Espero que, sin embargo, cualquier situación adversa que se le esté generando, pues usted se mejore y se solucione. Sí,",-0.807,0.8782,0.0
C095,1,"¿Aló? ¿Aló? Muy buenos días. Buenas, por favor. ¿Quién la llama? Estamos llamando por motivo de un proceso legal en curso. Por confidencialidad, necesito que por favor me valide si es su... La orden. Le llamo por motivo de su obligación. Lo llamo del área de embargos, judicializaciones y alivios financieros. ¿Cómo me le va a hacer? Muy bien, gracias a Dios. Aliviados. Excelente. Queremos ofrecerle un descuento del 33 % de toda la deuda. Así le condonaríamos un total de $2 .380 .000. Con el descuento, ya no debería $7 .200 .000, sino solo $4 .820 .000. Además, le puedo dejar que pague hasta en tres cuotas. Así, serían tres pagos mensuales, de $1 .610 .000 cada uno. Es una propuesta por tiempo limitado que vencería hoy mismo. Me puede indicar con un sí o un no, si le interesa este descuento, y hacemos este acuerdo de pago. No, no podría acceder ahora mismo. Entiendo, señoría. ¿Cuánto podría pagar mensualmente entonces? Recuerde que el mínimo del acuerdo es de $4 .800 .000.","¿Aló? ¿Aló? Muy buenos días. Buenas, por favor. ¿Quién la llama? Estamos llamando por motivo de un proceso legal en curso. Por confidencialidad, necesito que por favor me valide si es su... La orden. Le llamo por motivo de su obligación. Lo llamo del área de embargos, judicializaciones y alivios financieros. ¿Cómo me le va a hacer? Muy bien, gracias a Dios. Aliviados. Excelente. Queremos ofrecerle un descuento del 33 % de toda la deuda. Así le condonaríamos un total de $2 .380 .000. Con el descuento, ya no debería $7 .200 .000, sino solo $4 .820 .000. Además, le puedo dejar que pague hasta en tres cuotas. Así, serían tres pagos mensuales, de $1 .610 .000 cada uno. Es una propuesta por tiempo limitado que vencería hoy mismo. Me puede indicar con un sí o un no, si le interesa este descuento, y hacemos este acuerdo de pago. No, no podría acceder ahora mismo. Entiendo, señoría. ¿Cuánto podría pagar mensualmente entonces? Recuerde que el mínimo del acuerdo es de $4 .800 .000.",,,
C096,1,"es que es un complique porque me llama el uno, me llama el otro yo ya no sé ni a quién creerle la verdad, en la semana me llaman más de cinco personas diferentes","No, señora, de pronto, lamento, de pronto, los cinco ministros que se me han presentado en el proceso de aporte de pago, pero lo que pasa es que nuestra gente realizó el aporte de pago solo por una de las obligaciones, que actualmente está por un saldo total de 1 .148 .855. esta es la obligación de la tarjeta de crédito que se nos tenía pendiente con el banco y pues esta se está manejando una campaña de descuento donde el sector cancela el valor del millón de pesos y cubriría la totalidad de ese crédito pero nos hace falta o pues en este caso le hizo falta a la gente realizar el acuerdo sobre el crédito de libranza que se me se ha manejado este crédito es una totalidad a pagar de 45 .964 .571 pesos y sobre este crédito sobre el cual pues estamos paliando para poderle negociar el acuerdo de pago. Si usted gusta unificar ambos créditos para hacer el acuerdo de pago, yo le puedo hacer un acuerdo de pago por las dos obligaciones que le suman actualmente 47 .113 .426 pesos y estas obligaciones nosotros manejamos pues la política de descuento donde usted podría cancelar el valor de 24 millones de pesos cerrados con esos 24 millones de pesos que le generarían a usted los respectivos pasos salvos que no tendría más reporte negativo en centrales de riesgo y pues evitaría el tema de que lo estén llamando con tanto menos. No sé si usted merece el interés de acogerse por las dos obligaciones o si pues desee continuar con el acuerdo de pago que realizó con nuestro agente sobre una de las obligaciones.",-0.9505,-0.2747,
C096,2,"Mire su merced, yo, como le he dicho a todos los que me llaman, yo no tengo un empleo yo no me puedo comprometer en estos momentos como le dije al último que me llamó que él me dijo y que me llamaba a ver si yo porque yo le hablé a él de que está esperando un concurso que se den las cosas entonces yo le llamo el 31 de agosto para ver cómo cuadramos cómo arreglamos porque la verdad, como le dije, yo no me puedo comprometer porque yo no puedo quedar mal yo no puedo quedar mal porque es que yo no tengo el dinero debajo de la almohada yo no tengo plata, si yo tuviera plata si yo tuviera un empleo, claro, yo una vez decía, bueno, hagamos el acuerdo por tanto porque pues igual uno puede también proponer, ¿sí? De acuerdo a las entradas que uno tenga pero en estos momentos yo no puedo hacer una contrapropuesta porque es que no tengo el recurso ¿Me hago entender?","Yo entiendo digamos que la idea principal o pues el motivo principal de estas sumadas pues negociar. Usted me dice que de pronto no cuenta para hacer un pago pues la totalidad de la obligación yo la entiendo, uno a veces no tiene debajo del colchón guardados 20 millones de pesos, ¿sí? Exacto, sí señora. ¿Cuál podría pagar mensualmente que usted diga",-0.2747,-0.8305,0.59
C096,3,"Me parece, pero pues no sé qué tan legal sea que yo termine pagando los 600 y algo y me digan que no, que sigo con la misma deuda No,","yo a usted le envío un acuerdo de pago formal por una de las obligaciones que es la obligación de la tarjeta Yo le envío a usted el acuerdo de pago formal usted realiza los pagos dentro de las hechas establecidas y cuando finalice con esos dos pagos retomamos entonces, si no me vuelvo a comunicar miramos de pronto para decirme qué políticas de descuento manejamos sobre el crédito grande, o si miramos el tema de cuotas para el crédito grande Pues",-0.9226,0.0046,
C096,4,"Pues Sumerce, yo estoy esperando que me, pues no sé si alcance el 15, la verdad, porque no me lo pueda poner otro día más adelantico para no quedarle mal. ¿Para qué fecha? ¿Para el 20, 25? Sí, pues no, para el 20, yo para el 20 sí, para el 20 sí creo que puedo tener porque ya, si para esa fecha ya se cumplen varios refuerzos como sí, más o menos se cumplen los cinco que tengo, entonces sí alcanzaría","para el 20 Para el 20 de agosto, pero yo le hago la solicitud digamos que el motivo principal de la llamada también es de informarle pues que sería sobre sólo una de las obligaciones primer pago para el 20 de agosto y el segundo pago lo generaríamos para el siguiente mes el mismo día el 20",-0.0233,0.0367,0.998
C097,1,"¿Qué le parece la oferta? no, pues la le estoy pagando al abogado, no me convendría, pues ya tiene proceso, él ya haría el acuerdo allá con su maestra y me comentaría a mí, porque de nada sacaría yo pagarle a un abogado para que llegara al acuerdo y hiciera el acuerdo y yo venir a pagar otra vez por otro lado claro pues ahí lo que","tiene que hacer, pero el abogado ¿qué proceso? ¿está haciendo un proceso insolvencia o estado que lo que está haciendo el abogado porque pues si no",-0.3198,-0.2082,
C098,1,"Sí, un triunfo ocupado, señora, ¿me puede llamar por ahí a la una?","Comprendo, señora, no nos demoramos nada, solo llamo para verificar que usted realizó el pago según compromiso del pago el día 31 de julio por 88 mil pesos. ¿Realizó el pago?",-0.1565,-0.4421,0.81
C098,2,"Pues, pues la verdad, la verdad en este momento no tengo plata.","Comprendo señora, o sea que cancelamos el acuerdo de pago y va a perder los beneficios que adquirió.",-0.7954,-0.2001,1.417
C099,1,"Sí me interesa el descuento, pero estamos pasando por un sector muy crítico en el sector salud y no estamos asegurándonos los pagos hasta septiembre.","Entiendo perfectamente su situación, señora. Y lamento mucho los intereses. La primera cuota debe quedar para antes del 31 de julio de este mes. ¿Hay alguna posibilidad de hacer ese primer pago antes de que termine julio?",-0.8628,-0.2017,4.37
C100,1,"No, para mí el problema es que ahorita en este momento no tendría nada para pagar. O sea, para hacer un pago anticipado o algo así, la verdad, no tendría. Pues porque como yo vivo en este momento, por eso es que no he podido cumplir con su obligación, porque vivo como quien dice al día en este momento. Entonces ha sido muy complejo poder sostener una cuota fija de un pago. Y pues en estos últimos tiempos de fe y meses para acá, en mi familia, con mis hijos, hubo una calamidad médica de tratamientos largos y todo eso. Entonces, pues, mucho más difícil. Entonces, ese ha sido realmente la situación conmigo, que como en este momento yo no tengo algo fijo, entonces es bien, bien, bien complejo.","Le entiendo completamente y lamento mucho lo que ha vivido con su familia. Es una situación muy difícil. Cuénteme. En este momento, ¿tiene alguna posibilidad de hacer un pago antes de que termine este mes? Entiendo. Sin embargo, con este descuento del 7%, su deuda es sólo $11 .650 .000 y puede pagarla hasta en una cuota. Es el mejor descuento que creo podría conseguir sobre esta deuda. ¿Puedo considerarlo? Por favor, indíqueme con un sí o no. Señora Sánchez.",-0.9512,0.1965,3.73
C100,2,"No, la verdad en este momento Eso es lo que te doy Es con gran esfuerzo Lo haría en este momento Es que es por eso No, no, de verdad no he podido salir de esa deuda Pero es a raíz de lo que ya te cuento y que pues me queda muy complejo sostener una cuota de 100 .000, de 150, de más, de ahí, o sea, yo no podría, porque para qué, si yo ya en algún momento hice acuerdos con ustedes de esos valores y terminé incumpliéndolos porque de verdad no podía. Entonces, es complejo, pues decir, yo podría decir que sí, y ya, pero la verdad, la idea no es esa, la idea es salir de la deuda.","La valoro mucho por su honestidad, de verdad. Dado lo que me cuenta, veo que hoy no se puede comprometer a un acuerdo. Correcto. Señora Sánchez, veo que no hemos podido aún llegar a un acuerdo, Pero entiendo que de todos modos a usted le interesa que solucionemos esto, ¿correcto? Podemos sacarlo de centrales, darle un paz y salvo anticipado, entre otras cosas. Dígame algo, ¿qué lo motivaría a usted a llegar a un acuerdo de pago? ¿O qué podríamos hacer desde CREDIVALORES para solucionar esto juntos?",-0.7617,-0.2808,3.021
